name,score,price
"study",0.5983126,3159.0
"gaming",0.50316626,3159.0
"design",0.5126732,3159.0
"dev",0.5696804,3159.0
"study",0.62776995,3179.0
"gaming",0.51284826,3179.0
"design",0.5324118,3179.0
"dev",0.58967644,3179.0
"study",0.6992444,6359.0
"gaming",0.7015346,6359.0
"design",0.7254112,6359.0
"dev",0.695957,6359.0
"study",0.62500584,5199.0
"gaming",0.61019063,5199.0
"design",0.5849618,5199.0
"dev",0.60560226,5199.0
"study",0.5983126,3059.0
"gaming",0.50316626,3059.0
"design",0.5126732,3059.0
"dev",0.5696804,3059.0
"study",0.60147166,2649.0
"gaming",0.50343454,2649.0
"design",0.51324713,2649.0
"dev",0.57015,2649.0
"study",0.6984729,3299.0
"gaming",0.5439757,3299.0
"design",0.6022164,3299.0
"dev",0.66117907,3299.0
"study",0.69044286,5999.0
"gaming",0.53766626,5999.0
"design",0.5944018,5999.0
"dev",0.66210306,5999.0
"study",0.6314269,4169.0
"gaming",0.53308123,4169.0
"design",0.5366098,4169.0
"dev",0.5963463,4169.0
"study",0.597405,2590.0
"gaming",0.5030046,2590.0
"design",0.5129816,2590.0
"dev",0.5703119,2590.0
"study",0.6025073,3329.0
"gaming",0.5039538,3329.0
"design",0.51468116,3329.0
"dev",0.5733057,3329.0
"study",0.52865756,2099.0
"gaming",0.4675768,2099.0
"design",0.44887272,2099.0
"dev",0.5009269,2099.0
"study",0.52489287,1849.0
"gaming",0.4259614,1849.0
"design",0.41146064,1849.0
"dev",0.4823339,1849.0
"study",0.60499316,2509.0
"gaming",0.5037336,2509.0
"design",0.5138869,2509.0
"dev",0.5706736,2509.0
"study",0.5774071,2299.0
"gaming",0.4787174,2299.0
"design",0.48072374,2299.0
"dev",0.5356127,2299.0
"study",0.6070089,3899.0
"gaming",0.5075079,3899.0
"design",0.5338235,3899.0
"dev",0.597082,3899.0
"study",0.74970764,9059.0
"gaming",0.5493816,9059.0
"design",0.6036822,9059.0
"dev",0.68462425,9059.0
"study",0.63025004,3499.0
"gaming",0.5039848,3499.0
"design",0.52120984,3499.0
"dev",0.5891646,3499.0
"study",0.62565815,3299.0
"gaming",0.51266897,3299.0
"design",0.5320281,3299.0
"dev",0.58936244,3299.0
"study",0.4937502,949.0
"gaming",0.42641243,949.0
"design",0.39523494,949.0
"dev",0.4852524,949.0
"study",0.5993057,1790.0
"gaming",0.503166,1790.0
"design",0.51332694,1790.0
"dev",0.57059443,1790.0
"study",0.74354297,7329.0
"gaming",0.54799545,7329.0
"design",0.6000705,7329.0
"dev",0.67770433,7329.0
"study",0.46653837,2899.0
"gaming",0.42410788,2899.0
"design",0.4058649,2899.0
"dev",0.4751352,2899.0
"study",0.60147166,2649.0
"gaming",0.50343454,2649.0
"design",0.51324713,2649.0
"dev",0.57015,2649.0
"study",0.56880397,1699.0
